date,weekday,trips,avg_trip_duration,awnd_mph,prcp,snow,snw_dpth,tavg,tmin,tmax,wdf2,wdf5,wsf2,wsf5
2016-01-01,Friday   ,149,590.70,12.75,0,0,0,41,34,43,270,280,25.9,35.1
2016-01-02,Saturday ,175,726.04,9.4,0,0,0,36,30,42,260,260,21,25.1
2016-01-03,Sunday   ,209,710.20,10.29,0,0,0,37,28,47,270,250,23.9,30
2016-01-04,Monday   ,274,437.96,17.22,0,0,0,32,14,35,330,330,25.9,33.1
2016-01-05,Tuesday  ,266,379.61,9.84,0,0,0,19,10,31,360,350,25.1,31.1
2016-01-06,Wednesday,344,448.71,5.37,0,0,0,28,15,42,230,250,12.1,16.1
2016-01-07,Thursday ,436,455.77,3.36,0,0,0,35,24,46,20,360,8.9,10.1
2016-01-08,Friday   ,418,457.59,8.05,0,0,0,38,31,45,20,30,14.1,16.1
2016-01-09,Saturday ,268,495.83,6.71,0.01,0,0,44,38,48,60,70,13,17
2016-01-10,Sunday   ,194,640.79,15.43,1.77,0,0,53,39,65,260,270,36,42.9
2016-01-11,Monday   ,332,1259.52,16.33,0,0,0,36,24,39,270,290,31.1,45
2016-01-12,Tuesday  ,366,438.42,8.72,0.01,0,0,31,22,44,270,240,35.1,42.9
2016-01-13,Wednesday,322,453.55,18.12,0,0,0,27,22,31,270,260,31.1,44.1
2016-01-14,Thursday ,340,472.66,8.05,0,0,0,28,23,39,250,250,21,25.9
2016-01-15,Friday   ,400,483.11,3.8,0,0,0,38,29,49,160,160,10.1,15
2016-01-16,Saturday ,258,1450.79,11.63,0.26,0,0,47,42,55,280,310,21.9,28
2016-01-17,Sunday   ,159,501.37,9.4,0.07,0.7,0,38,29,42,320,340,18.1,23
2016-01-18,Monday   ,152,456.26,17.22,0.03,0.5,1.2,27,18,30,290,280,29.1,38
2016-01-19,Tuesday  ,268,648.31,19.01,0,0,0,21,16,31,290,280,29.1,40
2016-01-20,Wednesday,366,430.59,9.4,0,0,0,31,27,39,300,290,21.9,31.1
2016-01-21,Thursday ,344,400.49,13.42,0,0,0,32,26,38,330,290,23,31.1
2016-01-22,Friday   ,292,658.24,10.29,0.03,0.3,0,26,20,30,350,330,21.9,29.1
2016-01-27,Wednesday,93,561.02,9.62,0.01,0,14.2,42,32,45,280,270,21.9,29.1
2016-01-28,Thursday ,203,950.35,4.03,0,0,9.8,34,24,42,240,240,14.1,18.1
2016-01-29,Friday   ,224,448.78,10.29,0,0,9.1,36,30,41,300,290,23.9,35.1
2016-01-30,Saturday ,141,460.09,8.28,0,0,7.9,32,25,39,310,300,23,30
2016-01-31,Sunday   ,184,634.04,4.92,0,0,7.1,39,30,54,200,210,12.1,15
2016-02-01,Monday   ,346,511.41,8.05,0.02,0,3.9,45,36,58,360,310,18.1,23
2016-02-02,Tuesday  ,403,420.28,3.8,0,0,1.2,43,32,51,350,,11,
2016-02-03,Wednesday,261,577.53,6.49,0.61,0,0,48,39,58,170,160,19.9,30
2016-02-04,Thursday ,370,442.32,9.4,0.01,0,0,54,42,56,330,320,23,31.1
2016-02-05,Friday   ,176,609.44,12.53,0.48,2.8,1.2,38,31,43,290,310,25.9,31.1
2016-02-06,Saturday ,214,585.62,7.16,0,0,1.2,33,25,41,200,200,15,18.1
2016-02-07,Sunday   ,215,635.13,4.7,0,0,0,37,28,47,30,30,19.9,25.1
2016-02-08,Monday   ,296,434.18,12.75,0.02,0.2,0,37,29,40,30,30,21.9,25.9
2016-02-09,Tuesday  ,294,451.02,6.04,0.02,0.2,0,31,27,36,10,20,15,21
2016-02-10,Wednesday,301,448.62,11.63,0.02,0.3,0,35,31,42,240,250,23,29.1
2016-02-11,Thursday ,264,410.66,19.91,0,0.2,0,27,19,31,270,290,32,38.9
2016-02-12,Friday   ,238,26763.54,9.17,0,0,0,21,15,27,280,290,21.9,31.1
2016-02-13,Saturday ,61,437.54,19.69,0,0,0,21,7,24,280,280,36.9,46.1
2016-02-14,Sunday   ,58,381.52,11.63,0,0,0,8,0,18,300,320,29.1,35.1
2016-02-15,Monday   ,88,558.23,6.93,0.42,1.5,0,18,10,33,20,360,14.1,17
2016-02-16,Tuesday  ,222,859.13,10.51,0.99,0,1.2,43,33,55,260,230,28,33.1
2016-02-17,Wednesday,346,1291.53,9.62,0,0,0,39,32,41,280,290,18.1,25.1
2016-02-18,Thursday ,334,580.86,13.42,0,0,0,33,27,38,350,310,21.9,28
2016-02-19,Friday   ,329,524.77,6.93,0,0,0,29,19,38,140,140,15,21.9
2016-02-20,Saturday ,315,974.49,11.86,0,0,0,47,38,64,230,230,23,28
2016-02-21,Sunday   ,263,651.00,5.59,0.08,0,0,51,38,56,360,350,15,18.1
2016-02-22,Monday   ,410,517.77,6.93,0,0,0,45,35,54,30,30,15,18.1
2016-02-23,Tuesday  ,295,438.98,12.75,0.27,0,0,39,34,42,40,50,21,29.1
2016-02-24,Wednesday,170,396.82,11.41,1.02,0,0,42,36,63,160,160,29.1,51
2016-02-25,Thursday ,366,549.37,18.57,0.05,0,0,54,35,64,250,240,33.1,40
2016-02-26,Friday   ,342,469.69,17.9,0,0,0,36,28,39,310,310,30,38
2016-02-27,Saturday ,223,612.45,9.62,0,0,0,33,24,43,230,250,19.9,25.1
2016-02-28,Sunday   ,328,893.38,12.3,0,0,0,45,35,62,210,200,23,30
2016-02-29,Monday   ,392,471.17,13.65,0.03,0,0,51,42,62,250,280,28,35.1
2016-03-01,Tuesday  ,430,460.10,9.4,0,0,0,45,39,53,130,140,17,21.9
2016-03-02,Wednesday,355,555.57,19.01,0.12,0,0,47,29,57,270,270,36.9,45
2016-03-03,Thursday ,357,1455.71,9.4,0,0,0,32,26,38,310,300,19.9,25.9
